id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
axie-infinity,5.74,880681794,-0.40047,164.9,0.123718,18-11-2024
the-sandbox,0.362673,866539795,0.60209,8.4,0.02897764,18-11-2024
pendle,5.28,863873756,-3.82068,7.5,0.03377729,18-11-2024
elrond-erd-2,30.81,849178036,-0.69667,545.64,6.51,18-11-2024
tezos,0.833784,844069344,1.17367,9.12,0.350476,18-11-2024
ordinals,39.25,822416409,0.56293,95.52,2.86,18-11-2024
apecoin,1.13,809583417,1.03952,26.7,0.482009,18-11-2024
mina-protocol,0.684439,808385223,-0.01276,9.09,0.333518,18-11-2024
nexo,1.24,800943581,-0.93708,4.07,0.04515276,18-11-2024
kaia,0.135353,793056609,-0.76607,0.153618,0.113064,18-11-2024
notcoin,0.00757052,774572813,1.36634,0.02836145,0.00461057,18-11-2024
decentraland,0.413833,772366358,1.9523,5.85,0.00923681,18-11-2024
binance-peg-dogecoin,0.371804,766949555,1.18112,0.439184,0.04955727,18-11-2024
usdd,1.001,761524843,0.31489,1.052,0.928067,18-11-2024
laqira-protocol,0.097699,740510987,-2.20977,0.208834,0.00324875,18-11-2024
book-of-meme,0.01048839,722441182,-3.47225,0.02688878,5.848e-05,18-11-2024
binance-staked-sol,248.34,721965917,2.73788,248.14,127.32,18-11-2024
conflux-token,0.155044,716341239,-1.92458,1.7,0.02199898,18-11-2024
dog-go-to-the-moon-rune,0.00713353,711043256,5.24128,0.00976482,0.0018022,18-11-2024
l2-standard-bridged-weth-base,3117.51,710714117,-0.88515,3444.73,2160.5,18-11-2024
kelp-dao-restaked-eth,3201.91,702431017,-0.81237,4033.48,2069.62,18-11-2024
zcash,46.46,701808520,6.92233,3191.93,16.08,18-11-2024
wormhole,0.254226,693982366,-0.93251,1.66,0.16434,18-11-2024
chiliz,0.075363,687231726,3.81144,0.878633,0.00410887,18-11-2024
gnosis,259.93,672775531,-0.27632,644.2,6.88,18-11-2024
axelar,0.790538,668590659,3.51246,2.64,0.312911,18-11-2024
arkham,2.1,661304134,-3.03164,3.98,0.287824,18-11-2024
frax,0.99702,647153936,0.00739,1.14,0.874536,18-11-2024
tether-gold,2597.17,640215932,1.29179,2815.31,1447.84,18-11-2024
xdce-crowd-sale,0.04283609,638731760,0.70724,0.192754,0.00039532,18-11-2024
arbitrum-bridged-weth-arbitrum-one,3117.42,637878592,-1.02072,3431.31,2161.12,18-11-2024
fwog,0.638577,616005009,4.1397,0.736315,0.00924364,18-11-2024
turbo,0.00888288,612126866,-4.55368,0.01316848,6.518e-05,18-11-2024
havven,1.85,605954736,9.19925,28.53,0.0347864,18-11-2024
superfarm,1.34,603452949,-3.36753,4.74,0.070397,18-11-2024
terra-luna,0.00010961,601972596,-2.6543,119.18,9.99967e-07,18-11-2024
ethereum-name-service,18.13,601148581,-0.3617,83.4,6.69,18-11-2024
nervos-network,0.01334272,599332368,0.17946,0.04370633,0.00197892,18-11-2024
dydx,1.33,598736711,1.89717,27.86,0.807449,18-11-2024
iota,0.168951,593667422,2.39391,5.25,0.081637,18-11-2024
